doc_id,route,agent1_model,agent1_chemical,agent1_physical,agent1_biological,agent1_methodology,agent1_frame,agent1_n_items,agent1_raw,agent1_time_s,agent1_parse_error,agent1_error,kw_top_pbs,kw_top_score,agent3_model,llm_primary_pb,llm_primary_conf,llm_secondary_pbs,llm_rejected_pbs,llm_reasoning,agent3_time_s,agent3_error,agent4_invoked,agent4_decision,agent4_confidence,agent4_reasoning,agent4_candidates,agent4_time_s,agent4_error,final_primary_pb,total_time_s
11e601dd40d6,llm_judged,qwen2.5:3b,,WRF; CMIP6; climate change; offshore wind energy potential; north coast of Tamaulipas; west coast of Yucatan; Gulf of Tehuantepec,,modelled,earth_sciences,7,"{
  ""chemical_species"": [],
  ""physical_metrics"": [
    ""WRF"", 
    ""CMIP6"", 
    ""climate change"", 
    ""offshore wind energy potential"", 
    ""north coast of Tamaulipas"", 
    ""west coast of Yucatan"", 
    ""Gulf of Tehuantepec""
  ],
  ""biological_observations"": [],
  ""methodology"": ""modelled"",
  ""disciplinary_frame"": ""earth_sciences""
}",2.104,,,,0,qwen2.5:14b,PB1,High,None,"PB2, PB3, PB4, PB5, PB6, PB7, PB8, PB9","The study models the offshore wind energy potential using WRF and CMIP6 climate model data, focusing on long-term projections under changing climatic conditions. The primary variable being analyzed is the wind energy potential, which directly relates to climate change dynamics (PB1). While other terms like 'offshore wind' are mentioned, they do not independently activate any PBs without explicit reference to climate impacts or emissions.",6.206,,,,,,,,,PB1,8.313
ca6e200d678b,llm_judged,qwen2.5:3b,H2O,speed; vertical; horizontal,,measured,earth_sciences,4,"{
  ""chemical_species"": [""H2O""],
  ""physical_metrics"": [
    ""speed"",
    ""climate"",
    ""energy"",
    ""flow"",
    ""mass"",
    ""radiation"",
    ""geophysical processes"",
    ""vertical"",
    ""horizontal""
  ],
  ""biological_observations"": [],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""earth_sciences""
}",1.778,,,,0,qwen2.5:14b,None,N/A,None,"PB1, PB3","The research measures the speed of the Brewer-Dobson circulation (BDC) using Aura/MLS stratospheric water vapor measurements. The focus is on quantifying vertical and horizontal speeds, which are directly related to atmospheric dynamics rather than biophysical boundaries like climate change or ozone depletion. The small extractor identified physical metrics but did not align with any specific PB vocabulary, supporting the conclusion that this study does not primarily address Planetary Boundaries.",5.125,,,,,,,,,None,6.906
3f68844ce318,llm_judged,qwen2.5:3b,,,,mentioned,engineering,0,"{
  ""chemical_species"": [],
  ""physical_metrics"": [""climate"", ""energy"", ""flow"", ""mass"", ""radiation"", ""geophysical processes""],
  ""biological_observations"": [],
  ""methodology"": ""mentioned"",
  ""disciplinary_frame"": ""engineering""
}",1.175,,,,0,qwen2.5:14b,None,N/A,None,"PB1, PB2, PB3, PB4, PB5, PB6, PB7, PB8, PB9","The abstract discusses the use of data mining techniques to discover and summarize knowledge from remote sensing datasets. The focus is on geospatial feature variables and their influence on spatial patterns, without quantifying or modeling any biophysical variable related to Planetary Boundaries. The small extractor and keyword overlap scorer did not identify any relevant chemical species, physical metrics, biological observations, or disciplinary frames that align with the PB framework.",5.795,,,,,,,,,None,6.972
c21a0b99e259,llm_judged,qwen2.5:3b,,temperature; precipitation,crop yields,measured,earth_sciences,3,"{
  ""chemical_species"": [],
  ""physical_metrics"": [""temperature"", ""precipitation""],
  ""biological_observations"": [""crop yields""],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""earth_sciences""
}",1.103,,,PB1(3),3,qwen2.5:14b,PB1,High,None,"PB2, PB4, PB5, PB7, PB8, PB9","The research focuses on validating the performance of crop models under extreme weather conditions, specifically temperature and precipitation extremes. The primary variable being measured is the simulated yield response to these climate scenarios using the EPIC model. This aligns with PB1 as it directly addresses human-driven alteration of the climate system through its impact on agricultural productivity. While keywords like 'climate impacts' are mentioned in the introduction, the core analysis involves measuring crop yields under modeled climate change conditions.",6.271,,,,,,,,,PB1,7.377
dbde52e667aa,llm_judged,qwen2.5:3b,,weight percent of the grain size fraction; ice rafting; magnetic stratigraphy; ash falls; faunal extinctions; carbonate fluctuations; glacial; event; boundary; interglacial,,measured,earth_sciences,10,"{
  ""chemical_species"": [],
  ""physical_metrics"": [
    ""weight percent of the grain size fraction"",
    ""ice rafting"",
    ""magnetic stratigraphy"",
    ""ash falls"",
    ""faunal extinctions"",
    ""carbonate fluctuations"",
    ""glacial"",
    ""event"",
    ""boundary"",
    ""interglacial""
  ],
  ""biological_observations"": [],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""earth_sciences""
}",2.159,,,,0,qwen2.5:14b,None,N/A,None,"PB1, PB2, PB3, PB4, PB5, PB6, PB7, PB8, PB9","The abstract measures the weight percent of grain size fractions greater than 250 jj in cores from the North Pacific to infer periods of increased ice rafting and cooling trends over geological timescales. This analysis focuses on paleoclimatic indicators rather than contemporary climate change, thus it does not align with any Planetary Boundary framework that requires active measurement or modeling of current biophysical variables.",5.715,,,,,,,,,None,7.876
01a70dbf979d,llm_judged,qwen2.5:3b,,habitat quality; dispersal distance; density-dependent dispersion rates,Emperor penguin populations; global population dynamics,none,biology,5,"{
  ""chemical_species"": [],
  ""physical_metrics"": [""habitat quality"", ""dispersal distance"", ""density-dependent dispersion rates""],
  ""biological_observations"": [""Emperor penguin populations"", ""global population dynamics""],
  ""methodology"": ""measured|modelled"",
  ""disciplinary_frame"": ""biology""
}",1.455,,,PB1(3),3,qwen2.5:14b,PB7,High,None,PB1,"The abstract focuses on modeling the dispersal characteristics of Emperor Penguins in response to climate-driven habitat changes. The primary variable being modeled is the impact of dispersal on population dynamics, which falls under PB7 as it directly addresses biodiversity and species persistence under environmental pressures. While 'climate change' is mentioned, it serves as a background context rather than the main analytical focus.",4.885,,,,,,,,,PB7,6.343
733ba5fc919b,llm_judged,qwen2.5:3b,,pH; O2,,measured,earth_sciences,2,"{
  ""chemical_species"": [],
  ""physical_metrics"": [""pH"", ""O2""],
  ""biological_observations"": [],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""earth_sciences""
}",1.02,,,PB1(3); PB4(3),3,qwen2.5:14b,PB2,High,PB4,PB1,"The abstract focuses on measuring pH and O2 levels in coastal waters of Huntington Bay, examining their relationship with hypoxia and acidification. The primary variable measured is the ocean's chemical state (pH), which directly relates to PB2 (Ocean Acidification). While 'global warming' and 'eutrophication' are mentioned as background issues prompting the study, they do not serve as the main analytical focus of the research.",5.789,,,,,,,,,PB2,6.811
6d34726fa878,llm_judged,qwen2.5:3b,CO2; carbon,respiration rates; primary production; carbon export; pH,plankton community composition; community respiration rates; primary production; microscopy counts of plankton,measured,biology,10,"{
  ""chemical_species"": [""CO2"", ""carbon""],
  ""physical_metrics"": [""respiration rates"", ""primary production"", ""carbon export"", ""pH"", ""temperature"", ""oxygen concentration""],
  ""biological_observations"": [""plankton community composition"", ""community respiration rates"", ""primary production"", ""microscopy counts of plankton""],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""biology""
}",1.925,,,PB1(3),3,qwen2.5:14b,PB2,High,PB4,PB1,"The research measures the effects of increased CO2 levels on plankton community composition, respiration rates, primary production, and carbon export in a controlled mesocosm experiment. The focus is explicitly on ocean acidification due to anthropogenic CO2 emissions, which directly impacts pH and biogeochemical fluxes. This aligns with PB2's core definition of human-driven changes affecting marine carbonate chemistry and calcifying organisms. While the abstract mentions carbon dioxide (CO2) in relation to climate change, the primary focus is on ocean acidification effects.",6.905,,,,,,,,,PB2,8.834
82b2779f08ea,llm_judged,qwen2.5:3b,Halimeda cuneata; Padina gymnospora; Tricleocarpa cylindrica,,photosynthesis; calcified macroalgae; coralline algae; intertidal region; quantum yield; energy dissipation mechanisms; photosynthetic performance,measured,biology,10,"{
  ""chemical_species"": [""Halimeda cuneata"", ""Padina gymnospora"", ""Tricleocarpa cylindrica""],
  ""physical_metrics"": [],
  ""biological_observations"": [""photosynthesis"", ""calcified macroalgae"", ""coralline algae"", ""intertidal region"", ""quantum yield"", ""energy dissipation mechanisms"", ""photosynthetic performance""],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""biology""
}",10.312,,,PB1(3); PB2(3),3,qwen2.5:14b,PB2,High,PB1,"PB3, PB4, PB5, PB6, PB7, PB8, PB9","The study measures the effects of CO2-driven ocean acidification and temperature increases on the photosynthesis of calcified macroalgae. The operational object is clearly the response of marine organisms to changes in pH levels and temperatures, which directly aligns with PB2 (Ocean Acidification) due to explicit experimental manipulation of these variables. While climate change is mentioned as a background threat, it does not serve as an active forcing or measurement in this study.",14.087,,,,,,,,,PB2,24.404
23aa02497362,llm_judged,qwen2.5:3b,carbonate; nutrient,pH; aragonite saturation (arag); total alkalinity (TA); dissolved inorganic carbon (DIC),,measured,earth_sciences,6,"{
  ""chemical_species"": [""carbonate"", ""nutrient""],
  ""physical_metrics"": [""pH"", ""aragonite saturation (arag)"", ""total alkalinity (TA)"", ""dissolved inorganic carbon (DIC)""],
  ""biological_observations"": [],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""earth_sciences""
}",12.136,,,PB2(6); PB4(3),6,qwen2.5:14b,PB2,High,PB4,"PB1, PB7","The abstract measures carbonate chemistry, pH levels, nutrient concentrations, and metabolic processes in coral reef systems. The primary focus is on how these factors interact to influence the resilience of coral reefs under changing environmental conditions, particularly focusing on ocean acidification and nutrient loading from submarine groundwater discharge. This aligns with PB2 due to explicit measurement of pH and aragonite saturation, which are core indicators for ocean acidification. While nutrients were also measured (relevant to PB4), they did not drive the primary analysis.",15.732,,,,,,,,,PB2,27.871
caa0f4f9200b,llm_judged,qwen2.5:3b,capelin; pteropods,,black-legged kittiwake; ptero- pods; capelin; kittiwakes' spatiotemporal distribution; adult survival rates,measured,biology,7,"{
  ""chemical_species"": [""capelin"", ""pteropods""],
  ""physical_metrics"": [],
  ""biological_observations"": [""black-legged kittiwake"", ""ptero- pods"", ""capelin"", ""kittiwakes' spatiotemporal distribution"", ""adult survival rates""],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""biology""
}",9.217,,,,0,qwen2.5:14b,PB7,High,None,PB1,"The study measures the annual adult survival rates of black-legged kittiwakes in relation to prey densities and climatic parameters across breeding and non-breeding areas. The primary focus is on ecological responses, specifically how environmental conditions impact bird survival rates, which aligns with PB7 (Biosphere Integrity). While climate parameters are mentioned, they do not constitute the main analytical focus of the study.",14.604,,,,,,,,,PB7,23.824
958e8ae09926,llm_judged,qwen2.5:3b,,,microbial functional genes; ecosystem functioning,measured,biology,2,"{
  ""chemical_species"": [],
  ""physical_metrics"": [],
  ""biological_observations"": [""microbial functional genes"", ""ecosystem functioning""],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""biology""
}",9.015,,,PB7(2),2,qwen2.5:14b,PB1,High,PB7,None,"The research focuses on the impact of warming on microbial functional gene expression, which directly influences ecosystem functioning. The primary variable being manipulated is warming, and the study measures its effects on microbial genes, aligning with PB1's core definition of human-driven climate alteration. While there are mentions of ecosystem functioning, this is a consequence of the experimental manipulation rather than the focus itself.",16.783,,,,,,,,,PB1,25.8
d84d0ce7a4c8,llm_judged,qwen2.5:3b,,pH; CO2,Mytilus edulis; immune response; growth and development; metabolic depression,measured,biology,6,"{
  ""chemical_species"": [],
  ""physical_metrics"": [""pH"", ""CO2""],
  ""biological_observations"": [""Mytilus edulis"", ""immune response"", ""growth and development"", ""metabolic depression""],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""biology""
}",3.473,,,PB2(8); PB1(7),8,qwen2.5:14b,PB2,High,PB1,"PB4, PB7","The research measures the immune response of Mytilus edulis mussels exposed to acidified seawater, focusing on changes in phagocytosis and other immuno-surveillance parameters. The primary variable is pH levels (7.8, 7.7, 7.5, 6.7), which directly relates to ocean acidification. This aligns with PB2's core definition of decreased ocean pH due to anthropogenic CO2 uptake. While the abstract mentions climate change and carbon capture in passing, these are not central to the biophysical analysis.",60.21,,,,,,,,,PB2,63.689
ab2d096a1aaf,llm_judged,qwen2.5:3b,nitrate,,,measured,earth_sciences,1,"{
  ""chemical_species"": [""nitrate""],
  ""physical_metrics"": [],
  ""biological_observations"": [""phytoplankton"", ""diatom""],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""earth_sciences""
}",10.201,,,,0,qwen2.5:14b,PB4,High,None,"PB1, PB7","The research measures the microbial and biogeochemical responses to projected future nitrate enrichment in the California upwelling system. The primary focus is on nutrient loading, which directly pertains to PB4 (Biogeochemical Flows). This paper quantifies changes in nitrogen cycles due to human-driven nitrate enrichment, clearly indicating disruption of natural biogeochemical processes. Neither the small extractor nor keyword scorer provided relevant signals for other planetary boundaries.",7.801,,,,,,,,,PB4,18.004
84915f5956b8,llm_judged,qwen2.5:3b,WO3; CO2,,,measured,engineering,2,"{
  ""chemical_species"": [""WO3"", ""CO2""],
  ""physical_metrics"": [],
  ""biological_observations"": [],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""engineering""
}",1.023,,,PB1(3); PB2(3),3,qwen2.5:14b,PB2,High,PB1,"PB3, PB4, PB5, PB6, PB7, PB8, PB9","The research focuses on the development and testing of a new potentiometric pH sensor with enhanced sensitivity for monitoring seawater pH. The abstract explicitly mentions ocean acidification due to increased atmospheric CO2, which directly impacts marine organisms and shellfish. This operational object aligns closely with PB2's core definition of anthropogenic CO2 uptake causing decreased ocean pH. While the paper also touches on climate change (PB1) in its introduction, it does not measure or model this variable explicitly.",7.106,,,,,,,,,PB2,8.133
a31195146871,llm_judged,qwen2.5:3b,,oxygen consumption; nutrient regeneration rates; temperature; pH,Catostylus mosaicus decomposition,measured,earth_sciences,5,"{
  ""chemical_species"": [],
  ""physical_metrics"": [""oxygen consumption"", ""nutrient regeneration rates"", ""temperature"", ""pH""],
  ""biological_observations"": [""Catostylus mosaicus decomposition""],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""earth_sciences""
}",1.309,,,PB1(3),3,qwen2.5:14b,PB2,High,PB1,"PB4, PB7","The research measures oxygen consumption and nutrient regeneration rates during the decomposition of Catostylus mosaicus jellyfish under current and projected future ocean conditions (pH 8.0, 27°C vs pH 7.8, 30°C). This study directly quantifies how changing ocean conditions affect decomposition processes, aligning with PB2's core definition of ocean acidification and warming impacts on marine systems. The abstract explicitly mentions the experimental manipulation of temperature and pH levels to assess their combined effect on jellyfish decomposition rates.",6.596,,,,,,,,,PB2,7.907
0866b31f11c4,llm_judged,qwen2.5:3b,,,,mentioned,other,0,"{
  ""chemical_species"": [],
  ""physical_metrics"": [],
  ""biological_observations"": [],
  ""methodology"": ""mentioned"",
  ""disciplinary_frame"": ""literature""
}",0.828,,,,0,qwen2.5:14b,None,N/A,None,"PB1, PB2, PB3, PB4, PB5, PB6, PB7, PB8, PB9","The abstract discusses the use of weird fiction literature to explore anxieties related to the ecological crisis, particularly focusing on climate change. However, it does not measure or model any biophysical variables directly; instead, it uses literary analysis as a tool to reflect on societal and environmental issues. The small extractor and keyword overlap scorer did not identify any relevant physical metrics or chemical species, confirming that this is purely social commentary.",5.68,,,,,,,,,None,6.509
9480a86811a3,llm_judged,qwen2.5:3b,,reef; village; qoliqoli; fishery,"species; understanding of reef dynamics; support and expectations for a proposed conservation program; Lethrinus harak (Forsska˚l, 1775; Lethrinidae)",measured,biology,8,"{
  ""chemical_species"": [],
  ""physical_metrics"": [""reef"", ""village"", ""qoliqoli"", ""fishery""],
  ""biological_observations"": [""species"", ""understanding of reef dynamics"", ""support and expectations for a proposed conservation program"", ""Lethrinus harak (Forsska˚l, 1775; Lethrinidae)""],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""biology""
}",2.076,,,,0,qwen2.5:14b,PB7,High,None,"PB1, PB2, PB3, PB4, PB5, PB6, PB8, PB9","The research measures the ecological status and conservation needs of a reef system in Fiji, focusing on fishery-independent species surveys and interviews with local fishermen. The primary variable being analyzed is biodiversity and habitat management, which aligns with PB7 due to its focus on ecosystem integrity and species monitoring. The abstract does not mention any biophysical variables related to the other Planetary Boundaries.",5.969,,,,,,,,,PB7,8.05
66c76ad14a95,llm_judged,qwen2.5:3b,,climate,aquatic species,measured,earth_sciences,2,"{
  ""chemical_species"": [],
  ""physical_metrics"": [""climate""],
  ""biological_observations"": [""aquatic species"", ""finﬁsh"", ""molluscs""],
  ""methodology"": ""measured"",
  ""disciplinary_frame"": ""earth_sciences""
}",1.203,,,PB1(3),3,qwen2.5:14b,PB1,Medium,None,"PB2, PB3, PB4, PB5, PB6, PB7, PB8, PB9","The abstract discusses research on climate change's impact on major aquatic species production, focusing on the measurement of how climate variables affect these species. The term 'climate change' is central to the analysis and indicates a direct focus on human-driven alterations in the climate system. This aligns with PB1's core definition and activation logic. While the small extractor flagged 'climate', it did not specify any quantification or modeling, which is necessary for a definitive PB1 assignment. The keyword scorer also suggested PB1 due to overlap with 'climate change'.",7.041,,,,,,,,,PB1,8.247
06cdb4126b53,llm_judged,qwen2.5:3b,,,life; earth; deep; ocean; subseafloor; drilling; scientific; oceanography,mentioned,earth_sciences,8,"{
  ""chemical_species"": [],
  ""physical_metrics"": [],
  ""biological_observations"": [""life"", ""earth"", ""deep"", ""ocean"", ""subseafloor"", ""drilling"", ""scientific"", ""oceanography""],
  ""methodology"": ""mentioned"",
  ""disciplinary_frame"": ""earth_sciences""
}",1.429,,,,0,qwen2.5:14b,None,N/A,None,"PB1, PB2, PB3, PB4, PB5, PB6, PB7, PB8, PB9","The abstract discusses the discovery and implications of deep microbial life beneath the ocean floor, suggesting a long-term interrelationship between subseafloor ecosystems and Earth dynamics. This research focuses on understanding planetary habitability and sustainability through scientific drilling methods. The primary variable being studied is not quantified or modeled but rather discussed in terms of its broader ecological and geological significance. Therefore, this abstract does not measure, model, or experimentally manipulate any specific Planetary Boundary variables.",6.055,,,,,,,,,None,7.485
